id;owner;owner_id;jhi_to;to_id;subject;created_date;last_message;type
1;Officer withdrawal Accounts;48599;supply-chains;35301;Pants Kentucky generate;2020-04-07;2020-04-07;NOTIFICATION
2;Plastic sky blue;1027;Gambia Function-based Product;68082;Fantastic Soft Computer;2020-04-07;2020-04-07;NOTIFICATION
3;Unbranded Concrete Chips Buckinghamshire HDD;72378;Handmade Ergonomic Plastic Shoes;12712;Avon copy;2020-04-06;2020-04-06;NOTIFICATION
4;solutions Malta;79569;Practical Concrete Sausages;59994;Gorgeous Computer;2020-04-06;2020-04-07;NOTIFICATION
5;impactful Fish Graphical User Interface;75797;heuristic;82293;monitoring;2020-04-07;2020-04-06;NOTIFICATION
6;Maine Designer Handmade;38059;Versatile;8930;framework bypass bypass;2020-04-06;2020-04-07;NOTIFICATION
7;bypassing override;76090;Practical Cotton Pizza bus Loaf;91552;Massachusetts Ohio policy;2020-04-07;2020-04-07;NOTIFICATION
8;Coves payment Gorgeous;84822;Steel;61626;collaborative object-oriented;2020-04-07;2020-04-06;NOTIFICATION
9;azure;20754;Health;18297;Small Plastic Pants discrete;2020-04-07;2020-04-07;NOTIFICATION
10;AGP Concrete;43946;Sausages Electronics;55077;Solomon Islands Dollar Money Market Account Fantastic;2020-04-07;2020-04-07;NOTIFICATION
